periode,taux de chomage,"
"
2017-T2,9.2,"
"
2017-T1,9.3,"
"
2016-T4,9.7,"
"
2016-T3,9.7,"
"
2016-T2,9.7,"
"
2016-T1,9.9,"
"
2015-T4,9.9,"
"
2015-T3,10.1,"
"
2015-T2,10.2,"
"
2015-T1,10.0,"
"
2014-T4,10.1,"
"
2014-T3,10.0,"
"
2014-T2,9.9,"
"
2014-T1,9.8,"
"
2013-T4,9.7,"
"
2013-T3,9.9,"
"
2013-T2,10.1,"
"
2013-T1,9.9,"
"
2012-T4,9.7,"
"
2012-T3,9.4,"
"
2012-T2,9.4,"
"
2012-T1,9.1,"
"
2011-T4,9.0,"
"
2011-T3,8.8,"
"
2011-T2,8.7,"
"
2011-T1,8.8,"
"
2010-T4,8.8,"
"
2010-T3,8.8,"
"
2010-T2,8.9,"
"
2010-T1,9.0,"
"
2009-T4,9.1,"
"
2009-T3,8.8,"
"
2009-T2,8.8,"
"
2009-T1,8.2,"
"
2008-T4,7.4,"
"
2008-T3,7.1,"
"
2008-T2,7.0,"
"
2008-T1,6.8,"
"
2007-T4,7.1,"
"
2007-T3,7.6,"
"
2007-T2,7.8,"
"
2007-T1,8.1,"
"
2006-T4,8.0,"
"
2006-T3,8.5,"
"
2006-T2,8.6,"
"
2006-T1,8.7,"
"
2005-T4,8.7,"
"
2005-T3,8.6,"
"
2005-T2,8.4,"
"
2005-T1,8.3,"
"
2004-T4,8.5,"
"
2004-T3,8.5,"
"
2004-T2,8.4,"
"
2004-T1,8.6,"
"
2003-T4,8.4,"
"
2003-T3,8.0,"
"
2003-T2,8.1,"
"
2003-T1,8.0,"
"
2002-T4,7.6,"
"
2002-T3,7.5,"
"
2002-T2,7.5,"
"
2002-T1,7.5,"
"
2001-T4,7.5,"
"
2001-T3,7.4,"
"
2001-T2,7.3,"
"
2001-T1,7.4,"
"
2000-T4,7.7,"
"
2000-T3,8.0,"
"
2000-T2,8.3,"
"
2000-T1,8.7,"
"
1999-T4,9.1,"
"
1999-T3,9.5,"
"
1999-T2,9.8,"
"
1999-T1,9.9,"
"
1998-T4,9.8,"
"
1998-T3,9.8,"
"
1998-T2,9.9,"
"
1998-T1,10.0,"
"
1997-T4,10.2,"
"
1997-T3,10.3,"
"
1997-T2,10.4,"
"
1997-T1,10.3,"
"
1996-T4,10.2,"
"
1996-T3,10.2,"
"
1996-T2,10.2,"
"
1996-T1,9.9,"
"
1995-T4,9.6,"
"
1995-T3,9.5,"
"
1995-T2,9.7,"
"
1995-T1,9.9,"
"
1994-T4,10.0,"
"
1994-T3,10.3,"
"
1994-T2,10.4,"
"
1994-T1,10.3,"
"
1993-T4,10.1,"
"
1993-T3,9.8,"
"
1993-T2,9.5,"
"
1993-T1,9.2,"
"
1992-T4,8.9,"
"
1992-T3,8.8,"
"
1992-T2,8.6,"
"
1992-T1,8.3,"
"
1991-T4,8.1,"
"
1991-T3,7.9,"
"
1991-T2,7.7,"
"
1991-T1,7.5,"
"
1990-T4,7.6,"
"
1990-T3,7.6,"
"
1990-T2,7.6,"
"
1990-T1,7.7,"
"
1989-T4,7.7,"
"
1989-T3,7.8,"
"
1989-T2,7.9,"
"
1989-T1,8.0,"
"
1988-T4,8.2,"
"
1988-T3,8.4,"
"
1988-T2,8.4,"
"
1988-T1,8.6,"
"
1987-T4,8.6,"
"
1987-T3,8.7,"
"
1987-T2,8.8,"
"
1987-T1,8.8,"
"
1986-T4,8.7,"
"
1986-T3,8.6,"
"
1986-T2,8.6,"
"
1986-T1,8.5,"
"
1985-T4,8.5,"
"
1985-T3,8.6,"
"
1985-T2,8.5,"
"
1985-T1,8.5,"
"
1984-T4,8.4,"
"
1984-T3,8.2,"
"
1984-T2,8.0,"
"
1984-T1,7.6,"
"
1983-T4,7.2,"
"
1983-T3,6.9,"
"
1983-T2,6.7,"
"
1983-T1,6.7,"
"
1982-T4,6.7,"
"
1982-T3,6.7,"
"
1982-T2,6.5,"
"
1982-T1,6.4,"
"
